数字代码,民族名称,字母代码
1,汉族,HA
2,蒙古族,MG
3,回族,HU
4,藏族,ZA
5,维吾尔族,UG
6,苗族,MH
7,彝族,YI
8,壮族,ZH
9,布依族,BY
10,朝鲜族,CS
11,满族,MA
12,侗族,DO
13,瑶族,YA
14,白族,BA
15,土家族,TJ
16,哈尼族,HN
17,哈萨克族,KZ
18,傣族,DA
19,黎族,LI
20,傈僳族,LS
21,佤族,VA
22,畲族,SH
23,高山族,GS
24,拉祜族,LH
25,水族,SU
26,东乡族,DX
27,纳西族,NX
28,景颇族,JP
29,柯尔克孜族,KG
30,土族,TU
31,达斡尔族,DU
32,仫佬族,ML
33,羌族,QI
34,布朗族,BL
35,撒拉族,SL
36,毛难族,MN
37,仡佬族,GL
38,锡伯族,XB
39,阿昌族,AC
40,普米族,PM
41,塔吉克族,TA
42,怒族,NU
43,乌孜别克族,UZ
44,俄罗斯族,RS
45,鄂温克族,EW
46,德昂族,DE
47,保安族,BN
48,裕固族,YG
49,京族,GI
50,塔塔尔族,TT
51,独龙族,DR
52,鄂伦春族,OR
53,赫哲族,HZ
54,门巴族,MB
55,珞巴族,LB
56,基诺族,JN